MIN;RADI
5;0.09
141;0.09
144;0.24
145;0.98
147;1.12
149;0.68
150;0.83
151;1.42
152;0.83
153;0.83
154;0.98
164;0.39
168;0.98
171;0.98
172;0.24
173;1.56
175;0.53
180;0.83
182;0.98
183;1.27
186;0.68
192;0.24
198;0.24
203;0.09
204;-2.26
215;0.98
216;0.39
217;0.39
222;0.39
226;-0.2
229;0.09
232;0.24
233;0.09
238;0.24
239;-0.35
240;0.53
241;0.24
253;0.39
254;-1.08
255;-0.2
256;-1.38
257;0.53
258;-0.05
259;-1.67
260;0.09
261;0.98
271;0.39
272;-1.52
273;-1.08
274;-0.05
275;-1.08
276;-1.52
277;-0.94
278;0.53
279;0.39
281;1.42
286;1.12
290;0.39
291;1.12
292;0.09
297;0.09
298;-0.94
299;0.68
302;0.83
305;0.68
306;0.24
311;0.39
312;0.39
316;0.39
319;0.53
323;0.98
327;0.24
328;0.24
335;0.53
340;0.24
342;0.24
343;0.53
346;0.68
348;0.39
349;0.24
350;0.39
356;0.24
357;-0.49
358;1.12
364;1.12
365;-0.35
366;1.71
367;0.09
370;2.3
371;3.03
372;3.33
373;4.65
374;8.62
375;11.27
376;13.91
377;18.77
378;21.85
379;23.47
380;25.97
381;23.18
382;21.56
383;22.73
384;21.71
385;19.94
386;18.77
387;21.71
388;24.2
389;28.03
390;29.2
391;31.26
392;34.5
393;33.76
394;35.97
395;39.35
396;40.38
397;38.17
398;37
399;31.26
400;29.06
401;27.59
402;29.2
403;31.56
404;32
405;32.44
406;33.03
407;34.94
408;34.06
409;32.44
410;31.41
411;34.2
412;36.7
413;35.82
414;35.08
415;32.14
416;30.38
417;33.32
418;34.64
419;38.47
420;38.76
421;41.26
422;38.76
423;37.88
424;40.08
425;46.26
426;53.9
427;66.4
428;74.78
429;76.1
430;73.16
431;65.08
432;60.52
433;61.55
434;61.55
435;60.81
436;59.78
437;59.78
438;59.05
439;65.08
440;70.96
441;71.55
442;74.93
443;76.55
444;82.28
445;85.95
446;93.89
447;100.07
448;105.51
449;111.54
450;111.98
451;117.12
452;121.24
453;125.21
454;126.24
455;124.18
456;121.83
457;122.12
458;125.21
459;124.03
460;122.42
461;120.06
462;111.68
463;104.19
464;94.34
465;89.78
466;84.93
467;85.81
468;86.4
469;87.13
470;86.84
471;88.6
472;85.66
473;84.78
474;83.01
475;84.63
476;91.25
477;94.92
478;97.72
479;105.22
480;116.83
481;133.15
482;149.32
483;158
484;173.87
485;189.46
486;208.13
487;216.81
488;224.3
489;244.59
490;239.74
491;228.71
492;219.45
493;204.6
494;199.75
495;204.01
496;211.37
497;213.28
498;201.81
499;184.61
500;176.37
501;167.85
502;159.91
503;152.12
504;143.15
505;139.18
506;138.44
507;135.65
508;127.27
509;115.36
510;110.65
511;103.45
512;100.66
513;104.77
514;115.21
515;123.89
516;124.77
517;123.15
518;122.27
519;125.21
520;134.91
521;156.53
522;188.14
523;192.55
524;181.81
525;166.82
526;161.23
527;154.61
528;141.24
529;121.53
530;106.98
531;96.69
532;95.51
533;102.27
534;115.07
535;124.18
536;124.47
537;123.74
538;130.65
539;151.23
540;188.87
541;250.03
542;291.79
543;319.43
544;340.16
545;359.71
546;385
547;396.76
548;355.15
549;255.33
550;213.28
551;200.19
552;190.19
553;185.78
554;180.64
555;170.35
556;169.32
557;170.79
558;168.58
559;167.11
560;161.52
561;156.82
562;158.29
563;164.17
564;176.96
565;181.08
566;184.9
567;183.43
568;178.58
569;172.99
570;162.55
571;155.64
572;150.06
573;150.65
574;154.47
575;156.82
576;165.05
577;172.85
578;178.14
579;176.96
580;177.55
581;179.02
582;184.31
583;192.11
584;194.9
585;198.43
586;205.04
587;214.31
588;209.16
589;208.57
590;209.45
591;214.01
592;216.07
593;219.45
594;229.6
595;240.48
596;249
597;259.74
598;270.03
599;274.88
600;268.56
601;256.5
602;253.41
603;269
604;297.23
605;353.54
606;411.17
607;425.87
608;420.43
609;452.78
610;463.36
611;442.19
612;411.76
613;459.69
614;598.33
615;608.33
616;777.99
617;480.86
618;493.95
619;510.56
620;478.65
621;485.71
622;468.95
623;464.39
624;519.23
625;449.4
626;409.41
627;459.69
628;493.95
629;1093.36
630;475.42
631;394.85
632;363.24
633;356.48
634;334.42
635;344.42
636;334.28
637;312.81
638;282.08
639;259.59
640;256.06
641;293.85
642;370.45
643;460.86
644;545.55
645;565.4
646;908.11
647;528.2
648;534.82
649;640.23
650;673.46
651;710.8
652;586.28
653;522.47
654;482.92
655;447.04
656;427.05
657;429.7
658;432.34
659;12
660;472.92
661;498.65
662;548.93
663;531.58
664;517.03
665;547.02
666;677.14
667;715.8
668;718.3
669;652.58
670;602.3
671;685.52
672;784.32
673;834.16
674;1007.65
675;619.94
676;582.16
677;538.93
678;474.39
679;416.46
680;386.47
681;395.59
682;412.49
683;420.14
684;432.64
685;457.04
686;479.83
687;473.21
688;413.96
689;400
690;391.76
691;388.38
692;372.94
693;348.24
694;315.61
695;272.09
696;233.86
697;207.54
698;189.9
699;182.11
700;175.2
701;174.02
702;166.82
703;157.85
704;151.09
705;147.41
706;140.79
707;137.41
708;137.71
709;141.09
710;149.91
711;164.32
712;182.11
713;203.72
714;231.07
715;251.94
716;271.65
717;290.91
718;311.78
719;340.01
720;381.33
721;426.17
722;457.92
723;478.95
724;464.54
725;461.16
726;465.28
727;461.01
728;456.31
729;445.43
730;439.55
731;440.13
732;442.49
733;447.63
734;448.22
735;453.81
736;457.78
737;449.25
738;476.45
739;497.47
740;466.75
741;458.95
742;471.6
743;497.33
744;520.12
745;514.53
746;459.25
747;399.41
748;350.74
749;309.72
750;277.09
751;253.56
752;233.13
753;227.39
754;235.77
755;256.36
756;279.14
757;312.96
758;333.25
759;347.51
760;357.8
761;381.62
762;380.3
763;349.72
764;318.4
765;295.02
766;271.5
767;252.97
768;232.83
769;225.77
770;223.72
771;223.72
772;224.01
773;228.86
774;242.83
775;263.71
776;297.08
777;333.69
778;345.45
779;321.93
780;285.32
781;265.76
782;259.44
783;258.41
784;254.15
785;251.06
786;240.92
787;232.68
788;226.95
789;226.51
790;232.39
791;241.8
792;238.86
793;238.12
794;248.56
795;280.03
796;329.43
797;377.65
798;442.49
799;444.55
800;467.48
801;450.28
802;408.82
803;370.15
804;349.27
805;354.13
806;379.41
807;420.43
808;478.07
809;704.34
810;695.07
811;467.48
812;443.37
813;376.03
814;389.71
815;412.49
816;422.64
817;345.01
818;301.93
819;281.94
820;286.05
821;284.14
822;297.52
823;331.63
824;326.34
825;336.04
826;321.05
827;298.55
828;266.35
829;227.39
830;211.66
831;219.31
832;228.57
833;220.48
834;203.43
835;201.07
836;214.6
837;229.45
838;265.76
