MIN;RADI
839;341.92
840;231.51
841;217.54
842;216.66
843;209.6
844;223.57
845;254.59
846;265.91
847;257.09
848;241.06
849;206.51
850;180.49
851;173.14
852;173.58
853;179.02
854;184.75
855;204.75
856;233.27
857;240.62
858;252.68
859;263.27
860;276.35
861;289.88
862;288.55
863;282.97
864;290.46
865;296.2
866;272.82
867;277.09
868;249.3
869;237.54
870;224.16
871;226.66
872;237.83
873;244.3
874;271.94
875;301.05
876;304.28
877;302.37
878;289.29
879;293.85
880;307.37
881;260.62
882;224.16
883;196.52
884;183.58
885;180.05
886;179.31
887;181.52
888;187.55
889;195.63
890;212.84
891;231.8
892;247.09
893;270.03
894;267.38
895;281.94
896;270.91
897;255.33
898;241.21
899;213.13
900;212.54
901;226.95
902;235.62
903;264.88
904;308.55
905;564.22
906;612
907;609.51
908;552.02
909;536.88
910;424.26
911;551.43
912;500.41
913;492.62
914;460.13
915;444.25
916;440.87
917;424.4
918;390.73
919;391.91
920;363.39
921;352.51
922;303.26
923;338.54
924;385.29
925;455.28
926;526.29
927;649.5
928;673.76
929;595.39
930;716.54
931;708.6
932;428.08
933;378.97
934;610.09
935;612.15
936;362.21
937;610.98
938;393.09
939;372.21
940;326.49
941;207.69
942;224.16
943;242.98
944;628.77
945;587.01
946;590.39
947;284.44
948;215.92
949;325.75
950;223.13
951;205.49
952;206.96
953;218.72
954;237.68
955;582.6
956;633.03
957;637.88
958;699.19
959;715.51
960;413.82
961;717.27
962;589.22
963;358.98
964;647
965;626.71
966;479.39
967;177.7
968;155.94
969;148.88
970;141.82
971;140.35
972;141.82
973;136.24
974;134.03
975;134.77
976;139.62
977;145.35
978;149.76
979;146.97
980;149.32
981;143.88
982;140.94
983;141.24
984;150.2
985;146.23
986;148.73
987;139.91
988;135.8
989;127.86
990;129.47
991;120.06
992;115.36
993;113.6
994;114.48
995;123.15
996;136.82
997;135.65
998;133.74
999;129.91
1000;128.15
1001;124.77
1002;122.27
1003;116.98
1004;116.39
1005;113.45
1006;104.63
1007;98.6
1008;89.92
1009;86.98
1010;89.63
1011;86.4
1012;88.16
1013;82.72
1014;82.87
1015;83.9
1016;88.31
1017;83.46
1018;85.22
1019;88.6
1020;86.25
1021;70.08
1022;50.82
1023;41.41
1024;37.44
1025;41.11
1026;49.49
1027;60.08
1028;65.08
1029;63.02
1030;61.25
1031;65.37
1032;66.84
1033;61.4
1034;56.55
1035;50.82
1036;46.55
1037;40.67
1038;36.7
1039;35.67
1040;28.47
1041;26.7
1042;27
1043;22.29
1044;18.77
1045;17.44
1046;19.35
1047;16.56
1048;15.24
1049;15.38
1050;16.56
1051;18.03
1052;16.85
1053;15.68
1054;14.65
1055;15.82
1056;14.94
1057;13.03
1058;12.74
1059;11.71
1060;11.56
1061;11.86
1062;9.36
1063;8.18
1064;7.3
1065;6.56
1066;8.47
1067;4.5
1068;5.39
1069;4.94
1070;2.89
1071;3.77
1072;2.45
1073;1.42
1074;3.03
1075;1.56
1076;0.83
1077;0.53
1078;1.27
1079;0.09
1081;0.24
1151;0.24
1199;0.24
1204;0.39
1212;0.09
1320;0.39
1394;0.83
1434;1.27
1437;0.98
1438;0.68
1439;1.27
