MIN;RADI
115;0.39
118;0.53
123;0.98
126;1.56
127;0.53
128;0.53
129;0.09
130;0.24
132;0.98
134;0.53
136;1.12
138;0.68
147;0.09
156;0.09
165;0.68
166;0.09
167;0.24
168;0.83
169;0.53
171;0.09
174;0.24
181;0.24
186;0.09
190;0.09
191;0.09
233;0.68
251;0.39
352;1.27
355;0.09
356;0.83
357;2.89
358;1.56
359;2.45
360;1.86
361;3.33
362;4.21
363;6.12
364;5.97
365;6.12
366;9.36
367;10.83
368;14.8
369;18.03
370;19.79
371;20.68
372;21.41
373;21.85
374;26.56
375;30.97
376;34.35
377;34.06
378;36.85
379;40.08
380;39.2
381;39.05
382;38.02
383;38.17
384;38.61
385;39.64
386;42.44
387;42.88
388;41.55
389;42.88
390;41.7
391;39.79
392;39.79
393;39.79
394;41.26
395;39.64
396;35.67
397;29.64
398;25.97
399;24.2
400;24.5
401;22.88
402;20.53
403;21.41
404;22.73
405;21.56
406;25.97
407;26.56
408;28.47
409;28.91
410;29.35
411;30.23
412;30.82
413;29.06
414;31.85
415;31.56
416;35.23
417;37.73
418;39.2
419;43.02
420;50.82
421;59.34
422;63.61
423;64.05
424;69.78
425;74.93
426;82.28
427;86.54
428;93.6
429;103.45
430;111.54
431;205.19
432;273.85
433;312.52
434;327.96
435;329.57
436;316.93
437;297.23
438;239.59
439;213.87
440;216.95
441;212.84
442;143.74
443;145.94
444;145.94
445;167.99
446;192.84
447;279.73
448;278.56
449;283.11
450;293.99
451;300.32
452;301.2
453;308.11
454;295.9
455;290.91
456;284.73
457;273.41
458;283.41
459;288.85
460;298.55
461;296.93
462;316.19
463;325.75
464;323.99
465;337.95
466;338.25
467;338.84
468;347.8
469;357.95
470;356.77
471;359.27
472;361.62
473;366.48
474;376.77
475;389.71
476;388.24
477;398.82
478;405.29
479;411.02
480;414.85
481;404.26
482;402.94
483;402.5
484;171.96
485;162.7
486;162.55
487;166.96
488;209.01
489;176.67
490;181.96
491;230.33
492;275.47
493;448.51
494;485.56
495;470.57
496;487.62
497;490.71
498;503.35
499;505.71
500;514.82
501;528.94
502;525.11
503;538.05
504;536.43
505;556.14
506;515.41
507;540.7
508;555.4
509;583.04
510;581.28
511;568.78
512;573.93
513;577.16
514;581.87
515;587.75
516;600.1
517;617.89
518;633.32
519;669.64
520;618.18
521;683.31
522;558.34
523;716.69
524;374.27
525;384.27
526;351.48
527;364.56
528;381.77
529;587.45
530;325.9
531;320.6
532;352.95
533;345.75
534;360.15
535;320.75
536;356.04
537;367.36
538;341.78
539;383.38
540;506.88
541;408.82
542;348.39
543;305.17
544;259.3
545;214.75
546;188.58
547;170.35
548;165.2
549;156.53
550;148.88
551;139.03
552;126.24
553;113.89
554;103.3
555;97.57
556;96.25
557;102.42
558;110.07
559;120.21
560;138.44
561;154.76
562;173.43
563;191.37
564;208.57
565;227.83
566;246.8
567;258.27
568;272.97
569;276.64
570;285.76
571;315.31
572;320.31
573;310.31
574;301.79
575;310.46
576;335.45
577;388.82
578;451.16
579;412.05
580;425.43
581;389.56
582;345.89
583;302.96
584;257.83
585;217.83
586;185.78
587;159.47
588;140.35
589;123.59
590;116.39
591;112.27
592;112.57
593;112.13
594;115.65
595;115.65
596;119.92
597;125.5
598;130.94
599;134.77
600;136.24
601;137.12
602;134.33
603;135.35
604;137.27
605;135.8
606;140.35
607;145.94
608;152.85
609;159.76
610;161.67
611;165.94
612;165.79
613;164.76
614;160.79
615;160.05
616;159.47
617;162.26
618;163.29
619;162.41
620;160.94
621;159.47
622;157.26
623;156.97
624;146.68
625;131.97
626;116.98
627;107.86
628;112.86
629;127.42
630;143.15
631;148.88
632;143.59
633;137.71
634;134.47
635;130.8
636;131.24
637;130.06
638;127.42
639;121.53
640;116.54
641;118.89
642;123.74
643;125.36
644;127.56
645;130.36
646;135.65
647;132.86
648;129.62
649;120.95
650;117.12
651;112.13
652;108.74
653;106.54
654;101.54
655;99.04
656;100.51
657;104.04
658;106.39
659;102.86
660;102.13
661;107.13
662;114.92
663;125.36
664;142.41
665;166.82
666;195.93
667;233.13
668;264.74
669;284.73
670;285.76
671;281.2
672;281.2
673;250.62
674;228.86
675;207.69
676;181.52
677;164.17
678;157.41
679;155.35
680;154.03
681;156.53
682;158.88
683;159.61
684;161.82
685;162.11
686;165.49
687;171.82
688;177.84
689;179.76
690;184.31
691;187.99
692;191.66
693;198.13
694;207.1
695;216.81
696;225.48
697;225.48
698;220.63
699;214.16
700;200.63
701;187.11
702;174.9
703;173.87
704;184.31
705;188.14
706;189.9
707;188.28
708;181.52
709;177.55
710;177.11
711;176.37
712;172.55
713;170.35
714;174.76
715;171.52
716;175.49
717;175.64
718;178.87
719;186.08
720;195.05
721;209.6
722;226.07
723;236.36
724;239.01
725;239.45
726;240.33
727;245.03
728;251.21
729;262.24
730;277.38
731;305.61
732;336.34
733;369.12
734;389.12
735;396.91
736;396.17
737;381.77
738;378.68
739;407.35
740;472.19
741;512.47
742;572.16
743;528.64
744;495.12
745;471.6
746;476.01
747;469.39
748;445.57
749;429.84
750;448.07
751;445.28
752;469.98
753;531.29
754;580.25
755;483.07
756;461.31
757;418.23
758;389.41
759;382.65
760;400
761;437.78
762;543.64
763;634.35
764;538.79
765;526.44
766;581.42
767;483.21
768;468.36
769;449.69
770;427.2
771;381.18
772;365.59
773;355.89
774;335.75
775;322.52
776;320.75
777;313.11
778;285.76
779;252.24
780;226.95
781;226.36
782;238.12
783;243.71
784;236.36
785;240.77
786;248.12
787;267.23
788;287.97
789;308.25
790;360.3
791;434.11
792;467.63
793;446.6
794;454.69
795;488.8
796;431.9
797;403.53
798;385.74
799;367.06
800;339.13
801;298.11
802;265.91
803;256.65
804;257.53
805;253.56
806;251.21
807;254.3
808;266.79
809;269.59
810;259.44
811;257.09
812;274.14
813;285.32
814;305.61
815;363.83
816;433.67
817;444.1
818;452.78
819;477.04
820;552.17
821;724.18
822;741.97
823;1082.04
824;1396.96
825;1087.77
826;864.44
827;847.83
828;725.95
829;619.8
830;527.61
831;448.81
832;455.28
833;506
834;521.59
835;583.63
836;1018.97
837;907.23
838;657.73
839;725.95
840;1063.81
841;754.47
842;1050.28
843;740.94
844;889.88
845;956.63
846;937.66
847;888.85
848;723.3
849;703.6
850;1109.09
851;865.33
852;749.47
853;1308.31
854;946.34
855;947.22
856;569.96
857;518.06
858;601.57
859;579.81
860;634.79
861;611.42
862;599.95
863;652.58
864;685.96
865;870.03
866;638.47
867;515.7
868;504.38
869;492.18
870;469.98
871;489.68
872;504.24
873;527.61
874;548.05
875;544.23
876;577.9
877;552.31
878;537.17
879;529.23
880;531
881;537.61
882;565.99
883;584.95
884;618.92
885;759.32
886;878.26
887;876.35
888;567.46
889;563.63
890;594.36
891;747.85
892;476.3
893;389.71
894;313.25
895;272.53
896;240.77
897;225.63
898;212.98
899;215.63
900;225.77
901;219.31
902;191.22
903;166.96
904;154.91
905;148.73
906;145.06
907;140.5
908;148.73
909;160.79
910;173.14
911;180.93
912;183.58
913;187.25
914;197.25
915;202.4
916;200.34
917;194.46
918;185.2
919;176.23
920;173.73
921;166.52
922;158.58
923;145.94
924;134.62
925;118.01
926;113.6
927;113.89
928;118.01
929;114.62
930;108.01
931;102.27
932;97.86
933;93.45
934;86.98
935;80.66
936;75.22
937;73.16
938;72.13
939;74.63
940;76.1
941;82.57
942;89.63
943;102.42
944;112.13
945;123.74
946;132.41
947;139.77
948;140.35
949;139.18
950;135.06
951;133.15
952;132.27
953;126.83
954;121.24
955;119.92
956;121.68
957;124.92
958;133.15
959;143.15
960;143.74
961;143
962;141.68
963;139.91
964;134.18
965;136.82
966;143.74
967;144.91
968;145.06
969;146.68
970;142.12
971;142.56
972;141.24
973;135.5
974;130.36
975;122.71
976;109.04
977;100.95
978;100.36
979;105.95
980;110.95
981;111.68
982;114.77
983;114.62
984;113.15
985;114.92
986;116.98
987;110.65
988;106.69
989;105.36
990;106.1
991;103.16
992;102.72
993;103.6
994;103.89
995;100.66
996;94.19
997;92.28
998;88.75
999;90.95
1000;94.04
1001;95.95
1002;97.28
1003;99.19
1004;103.74
1005;104.33
1006;104.92
1007;102.72
1008;98.89
1009;97.57
1010;96.69
1011;93.45
1012;90.22
1013;84.78
1014;82.87
1015;80.81
1016;78.9
1017;77.13
1018;73.75
1019;71.25
1020;67.58
1021;65.52
1022;62.14
1023;62.14
1024;59.64
1025;59.2
1026;55.96
1027;55.82
1028;50.52
1029;48.91
1030;48.32
1031;46.99
1032;43.76
1033;41.26
1034;40.08
1035;37.14
1036;36.7
1037;37.14
1038;35.82
1039;33.47
1040;32.29
1041;32.29
1042;29.64
1043;28.91
1044;25.97
1045;26.26
1046;25.38
1047;23.32
1048;22.44
1049;21.41
1050;19.79
1051;18.91
1052;18.18
1053;17.74
1054;15.53
1055;12.74
1056;14.06
1057;11.71
1058;11.71
1059;13.33
1060;10.83
1061;9.94
1062;11.71
1063;9.8
1064;9.94
1065;8.62
1066;6.71
1067;6.27
1068;4.94
1069;6.12
1070;3.47
1071;3.33
1072;3.92
1073;3.33
1074;4.5
1075;5.39
1076;5.24
1077;2
1078;1.42
1079;1.27
1080;2.15
1081;0.09
1082;2.74
1083;0.39
1084;0.53
1086;0.83
1087;1.12
1089;0.83
1118;0.53
1119;0.39
1126;0.39
1136;0.39
1139;0.09
1143;0.24
1144;0.24
1145;0.09
1146;0.68
1148;0.09
1185;0.24
1204;0.09
1214;0.24
1219;0.09
1258;0.24
1279;0.24
1285;0.09
1288;0.24
1290;0.24
1308;0.09
1315;0.24
1322;0.09
1367;0.09
1377;0.09
1393;0.53
1432;0.09
