MIN;RADI
864;155.94
865;148.44
866;155.79
867;163.73
868;181.67
869;213.28
870;371.62
871;264.74
872;444.84
873;292.96
874;277.97
875;303.55
876;364.42
877;268.26
878;241.06
879;236.95
880;245.62
881;274.59
882;252.83
883;246.8
884;224.89
885;560.4
886;410.44
887;387.65
888;910.17
889;912.52
890;899.29
891;900.91
892;876.21
893;211.22
894;237.68
895;822.69
896;798.87
897;802.25
898;800.78
899;793.28
900;783.43
901;780.79
902;668.76
903;759.03
904;744.91
905;741.53
906;732.71
907;732.42
908;728.74
909;730.51
910;730.21
911;724.33
912;723.6
913;716.98
914;705.66
915;693.01
916;709.63
917;714.48
918;708.75
919;709.33
920;717.13
921;718.01
922;725.51
923;727.57
924;720.36
925;714.33
926;712.42
927;711.39
928;712.72
929;713.45
930;707.57
931;709.92
932;716.39
933;721.83
934;728.15
935;735.5
936;740.21
937;761.23
938;763.15
939;770.64
940;776.97
941;768.58
942;752.41
943;738.45
944;739.33
945;738
946;733.59
947;714.63
948;693.75
949;674.05
950;661.99
951;644.2
952;637.29
953;623.47
954;620.09
955;604.07
956;582.45
957;560.11
958;543.93
959;528.79
960;184.02
961;514.82
962;510.85
963;495.12
964;478.51
965;464.69
966;461.89
967;474.1
968;481.3
969;481.01
970;484.83
971;473.8
972;466.6
973;442.93
974;348.98
975;192.4
976;135.5
977;125.65
978;124.18
979;128.74
980;134.33
981;130.94
982;120.06
983;113.89
984;113.3
985;116.24
986;113.6
987;109.63
988;104.77
989;105.22
990;100.8
991;100.22
992;100.66
993;104.04
994;191.08
995;123.74
996;120.8
997;121.53
998;147.85
999;139.32
1000;173.29
1001;98.01
1002;91.98
1003;90.37
1004;86.4
1005;88.45
1006;83.75
1007;81.54
1008;81.25
1009;80.37
1010;75.81
1011;72.72
1012;73.75
1013;69.34
1014;65.37
1015;58.61
1016;53.46
1017;45.67
1018;46.7
1019;48.91
1020;50.82
1021;51.99
1022;51.85
1023;47.88
1024;42.88
1025;42.88
1026;41.26
1027;40.52
1028;38.76
1029;40.67
1030;41.41
1031;42.29
1032;48.02
1033;50.82
1034;49.49
1035;48.91
1036;46.85
1037;41.7
1038;40.08
1039;43.61
1040;48.32
1041;52.29
1042;56.55
1043;60.08
1044;62.87
1045;59.34
1046;58.61
1047;59.49
1048;57.73
1049;59.78
1050;55.37
1051;51.55
1052;46.85
1053;42.44
1054;41.55
1055;37.88
1056;37
1057;35.08
1058;36.26
1059;36.11
1060;37.44
1061;34.2
1062;35.38
1063;34.94
1064;33.91
1065;34.64
1066;30.38
1067;29.64
1068;25.23
1069;21.56
1070;17.88
1071;14.35
1072;10.97
1073;9.94
1074;8.03
1075;5.83
1076;5.09
1077;3.62
1078;2.74
1079;1.27
1080;1.42
1081;1.86
1082;0.24
1380;0.24
1381;0.09
1382;0.39
1388;0.09
1398;0.24
